<OOV> 1.0	OOV
قریشی 1.0	Q U R AY SH II
قسم 1.0	Q A S A M
قصور 1.0	Q U S UU R
قطعًا 1.0	Q A TD A N
كے 1.0	AE
کا 1.0	K AA
کاپوچینو 1.0	K AA P OO TSH II N OO
کاٹ 1.0	K AA TT
کاٹنی 1.0	K AA TT N II
کاٹے 1.0	K AA TT AY
کاٹی 1.0	K AA TT II
کار 1.0	K AA R
کارخانہ 1.0	K AA R X AA N AA
کارڈ 1.0	K AA R DD
کارڈیموم 1.0	K AA R DD II M UU M
کارساز 1.0	K AA R S AA Z
کارک 1.0	K AA R K
کاری 1.0	K AA R II
کاسمن 1.0	K AA S M A N
کاسی 1.0	K AA S II
کاشف 1.0	K AA SH I F
کاشفہ 1.0	K AA SH I F AA
کاظمہ 1.0	K AA Z M AA
کافی 1.0	K AA F II
کال 1.0	K AA L
کالج 1.0	K AA L I DZZ
کالز 1.0	K AA L Z
کالنگ 1.0	K AA L I NG
کالونی 1.0	K AA L UU N II
کالیں 1.0	K AA L AYN
کام 1.0	K AA M
کامران 1.0	K AA M R AA N
کاہوں 1.0	K AA H OON
کاؤنٹر 1.0	K AA UU N TT A R
کائنات 1.0	K AA I N AA TD
کائنڈ 1.0	K AA I N DD
کائنڈلی 1.0	K AA I N DD L II
کائینڈلی 1.0	K AA I J A N DD L II
کب 1.0	K A B
کباب 1.0	K A B AA B
کبھی 1.0	K A BH II
کپ 1.0	K A P
کتاب 1.0	K I TD AA B
کتن 1.0	K I TD N
کتنا 1.0	K I TD N AA
کتنے 1.0	K I TD N AY
کتنی 1.0	K I TD N II
کٹ 1.0	K A TT
کچ 1.0	K U TSH
کچا 1.0	K U TSH TSH AA
کچھ 1.0	K U TSHH
کدھر 1.0	K U DDH DDH A R
کڈز 1.0	K U DD Z
کڈی 1.0	K U DD II
کر 1.0	K A R
کرا 1.0	K A R AA
کراتا 1.0	K A R AA TD AA
کراتے 1.0	K A R AA TD AY
کراچی 1.0	K A R AA TSH II
کراس 1.0	K A R AA S
کرانا 1.0	K A R AA N AA
کراؤ 1.0	K A R AA OO
کرایا 1.0	K A R AA J AA
کراینگے 1.0	K A R AA AE NG G AY
کرائیے 1.0	K A R AA II AY
کرپسی 1.0	K A R P S II
کرتا 1.0	K A R TD AA
کرتے 1.0	K A R TD AY
کرتی 1.0	K A R TD II
کرتیں 1.0	K U R TD IIN
کرد 1.0	K U R DD
کردو 1.0	K U R DD UU
کردوں 1.0	K U R DD OON
کردیجیئے 1.0	K U R DD II DZ II AE
کردیجئے 1.0	K U R DD II DZZ I AE
کردیں 1.0	K U R DD AYN
کردینا 1.0	K U R DD II N AA
کرراہیۓ 1.0	K A R R AA H II
کرریکٹ 1.0	K A R R AY K TT
کرس 1.0	K U R S
کرسپ 1.0	K A R A S P
کرسپی 1.0	K A R A S P II
کرک 1.0	K U R K
کرلو 1.0	K U R L OO
کرلے 1.0	K U R L AY
کرلیتے 1.0	K U R L II TD AY
کرلیجئے 1.0	K U R L II DZZ I AE
کرلیں 1.0	K U R L AYN
کرلیئگا 1.0	K U R L II I G AA
کرم 1.0	K A R M
کرنا 1.0	K A R N AA
کرنچ 1.0	K A R A N TSH
کرنل 1.0	K A R A N A L
کرنے 1.0	K A R N AY
کرنی 1.0	K U R N II
کرہے 1.0	K A R H AY
کرو 1.0	K A R OO
کروا 1.0	K A R V AA
کرواتا 1.0	K A R V AA TD AA
کرواتے 1.0	K A R V AA TD AY
کرواتی 1.0	K A R V AA TD II
کرواتیں 1.0	K A R V AA TD AYN
کروادیتی 1.0	K A R V AA DD II TD II
کروادیں 1.0	K A R V AA DD AYN
کروالیجیے 1.0	K A R V AA L II DZZ II AY
کروانا 1.0	K A R V AA N AA
کروانے 1.0	K A R V AA N AY
کروانی 1.0	K A R V AA N II
کرواؤ 1.0	K A R V AA OO
کرواؤں 1.0	K A R V AA OON
کروایا 1.0	K A R V AA J AA
کروایے 1.0	K A R V AA J AY
کروائی 1.0	K A R V AA II
کروائیں 1.0	K A R V AA AEN
کروائیے 1.0	K A R V AA II AY
کروآ 1.0	K A R OO AA
کروں 1.0	K A R OON
کروے 1.0	K A R V AE
کرے 1.0	K U R AE
کری 1.0	K A R II
کریڈیٹ 1.0	K A R AE DD AY TT
کریسپی 1.0	K A R AE S P II
کریکٹ 1.0	K A R AE K TT
کریکٹر 1.0	K A R AE K TT A R
کریم 1.0	K A R II M
کریمز 1.0	K A R II M Z
کریمل 1.0	K A R II M I L
کریں 1.0	K A R AEN
کریںوہ 1.0	K A R AE OO
کریے 1.0	K A R J AY
کرئیے 1.0	K A R I J AY
کڑک 1.0	K U RR A K
کس 1.0	K A S
کسٹرڈ 1.0	K I S TT A R DD
کسٹمر 1.0	K A S TT A M A R
کسٹمرز 1.0	K A S TT A M A R Z
کسی 1.0	K A S II
کش 1.0	K A SH
کشمیر 1.0	K A SH M II R
کل 1.0	K A L
کلاک 1.0	K A L AA K
کلائنٹ 1.0	K A L AA I N TT
کلب 1.0	K A L A B
کلٹیکس 1.0	K A L TT AE K S
کلثوم 1.0	K U L S UU M
کلر 1.0	K A L A R
کلفٹن 1.0	K A L L I F TT A N
کلک 1.0	K U L K
کلو 1.0	K A L OO
کلوز 1.0	K A L OO Z
کلوزسٹ 1.0	K A L OO Z I S TT
کلوزنگ 1.0	K A L OO Z NG
کلوس 1.0	K A L OO S
کلوک 1.0	K A L OO K
کلی 1.0	K A L II
کلیکٹ 1.0	K A L AE K TT
کلیم 1.0	K A L II M
کلین 1.0	K A L II N
کلینک 1.0	K A L II N I K
کلئیر 1.0	K A L I J A R
کم 1.0	K A M
کمبینیشن 1.0	K A M B II N AY SH A N
کمپلیٹ 1.0	K A M P L AY TT
کمپلیٹلی 1.0	K A M P L AY TT L II
کمپلین 1.0	K A M P L AY N
کمپلینز 1.0	K A M P L AY N Z
کمپلیننگ 1.0	K A M P L AY N I NG
کمپنی 1.0	K A M P A N II
کمٹمنٹ 1.0	K A M TT M A N TT
کمرشل 1.0	K A M A R SH A L
کمنگ 1.0	K A M I NG
کمیونکیٹ 1.0	K A M J UU N K AY TT
کن 1.0	K A N
کنال 1.0	K A N AA L
کنٹرول 1.0	K A N TT R OO L
کنٹینیو 1.0	K A N TT II N II OO
کنڈریل 1.0	K A N DD R I J A L
کنڈیشن 1.0	K A N DD II SH A N
کنڈیشنز 1.0	K A N DD II SH A N Z
کنزیوم 1.0	K A N Z I J UU M
کنزیومرز 1.0	K U N Z J OO M R K OO R T Z
کنسرن 1.0	K A N S A R A N
کنسرنڈ 1.0	K A N S A R I N DD
کنسلیشن 1.0	K A N S A L AE SH A N
کنفرم 1.0	K N F R M
کنفرمیشن 1.0	K N F R M AY SH A N
کنفرنٹ 1.0	K A N F A R A N TT
کنفیوژن 1.0	K A N F I J UU ZZ A N
کنو 1.0	K A N OO
کنورٹ 1.0	K A N V A R TT
کنوے 1.0	K A N V AY
کنیکٹ 1.0	K U N AE K TT
کنیکشن 1.0	K A N AE K SH A N
کہ 1.0	K AA
کہا 1.0	K A H AA
کہاں 1.0	K A H AAN
کہانی 1.0	K A H AA N II
کہتا 1.0	K A H TD AA
کہتے 1.0	K A H TD AY
کہتی 1.0	K A H TD II
کہتیں 1.0	K A H A TD AYN
کہنا 1.0	K A H N AA
کہنے 1.0	K A H N AY
کہہ 1.0	K OOH H
کہو 1.0	K A H OO
کہوں 1.0	K A H UUN
کہے 1.0	K A H AY
کہی 1.0	K A H II
کہیں 1.0	K A H AYN
کہیںسے 1.0	K A H S S AE
کہیے 1.0	K A H II J AY
کہئے 1.0	K A H II AE
کھا 1.0	KH AA
کھاِنا 1.0	KH AA I N AA
کھاتا 1.0	KH AA TD AA
کھاتے 1.0	KH AA TD AY
کھاتی 1.0	KH AA TD II
کھانا 1.0	KH AA N AA
کھانے 1.0	KH AA N AY
کھانی 1.0	KH AA N II
کھاؤ 1.0	KH AA OO
کھاؤں 1.0	KH AA OON
کھایا 1.0	KH AA J AA
کھائے 1.0	KH AA AY
کھائیں 1.0	KH AA AEN
کھڑا 1.0	KH A RR AA
کھڑے 1.0	KH A RR AE
کھڑی 1.0	KH A RR II
کھلا 1.0	KH I L AA
کھلی 1.0	KH A L II
کھول 1.0	KH OO L
کھولا 1.0	KH OO L AA
کھولنے 1.0	KH OO L N AE
کو 1.0	K OO
کواپریشن 1.0	K U V AA P A R AY SH A N
کواٹر 1.0	K A V AA TT A R
کوالٹی 1.0	K A V AA L TT II
کوائٹ 1.0	K U V AA I TT
کوآپریٹیو 1.0	K OO AA P R AY TT II V
کوآرڈینیٹ 1.0	K OO AA R DD II N AE TT
کوبھائی 1.0	K UU BH AA II
کوپرائٹ 1.0	K UU P A R AA I TT
کوٹیجس 1.0	K OO TT AY DZZ S
کوڈ 1.0	K O DD
کورپریٹ 1.0	K OO R P R AY TT
کورپریشن 1.0	K OO R P R AY SH A N
کورٹ 1.0	K OO R TT
کورڈ 1.0	K OO R DD
کورنر 1.0	K OO R N A R
کورنگی 1.0	K O R A NG G II
کورنیٹو 1.0	K OO R N AY TT OO
کوسٹ 1.0	K OO S TT
کوشش 1.0	K OO SH I SH
کوفز 1.0	K UU F Z
کوفی 1.0	K UU F II
کوفیز 1.0	K UU F II Z
کوک 1.0	K OO K
کوکا 1.0	K OO K AA
کوکی 1.0	K UU K II
کوکیز 1.0	K UU K II Z
کول 1.0	K OO L
کولا 1.0	K OO L AA
کولٹی 1.0	K OO L TT II
کولج 1.0	K OO L DZZ
کولڈ 1.0	K OO L DD
کولز 1.0	K OO L Z
کولنگ 1.0	K OO L I NG
کولونی 1.0	K OO L OO N II
کولیٹی 1.0	K UU L AY TT II
کولیگ 1.0	K OO L II G
کومپلیکس 1.0	K OO M P A L II K S
کومپلیمنٹری 1.0	K OO M P L II M A N TT A R II
کومپلیمینٹ 1.0	K OO M P L II M AE N TT
کومپلیمینٹری 1.0	K OO M P L II M AE N TT A R II
کومپلینٹ 1.0	K OO M P L AY N TT
کومپنسیٹ 1.0	K OO M P A N S II TT
کومپنسیشن 1.0	K OO M P A N S AE SH A N
کون 1.0	K OO N
کونٹیکٹ 1.0	K OO N TT AE K TT
کونٹینینٹل 1.0	K OO N TT AY N AE N TT A L
کونسا 1.0	K OO N S AA
کونسے 1.0	K OO N S AY
کونسی 1.0	K O N S II
کونفرمڈ 1.0	K O N F A R M A DD
کوورج 1.0	K UU V R I DZZ
کوے 1.0	K UU AE
کویری 1.0	K A V AE R II
کویریز 1.0	K UU II R II Z
کوئٹہ 1.0	K UU I TT AA
کوئلہ 1.0	K OO I L AA
کوئی 1.0	K OO II
کے 1.0	K AY
کی 1.0	K II
کیا 1.0	K I J AA
کیالیکن 1.0	K I J AA L II K A N
کیپ 1.0	K II P
کیپٹین 1.0	K AE P TT II N
کیپچینو 1.0	K AE P I TSH TSH II N OO
کیپوچینو 1.0	K II P OO TSH II N OO
کیٹ 1.0	K AE TT
کیٹچ 1.0	K AE TT TSH
کیجیے 1.0	K II DZZ II AE
کیجیئے 1.0	K II DZZ II AY
کیجیۓ 1.0	K II DZZ II
کیجئے 1.0	K II DZZ I AE
کیچ 1.0	K II TSH
کیچپ 1.0	K II TSH P
کیریمل 1.0	K AE R AE M I L
کیس 1.0	K AE S
کیسے 1.0	K AE S AY
کیسی 1.0	K AE S II
کیش 1.0	K AE SH
کیفے 1.0	K AY F AE
کیک 1.0	K AY K
کیکس 1.0	K AY K S
کیل 1.0	K AY L
کیلاش 1.0	K AE L AA SH
کیلکیولیٹ 1.0	K AE L K UU L AY TT
کیم 1.0	K AE M
کیمپس 1.0	K AE M P A S
کین 1.0	K II N
کینٹ 1.0	K AE N TT
کینسل 1.0	K AE N S A L
کینیڈا 1.0	K AE N AY DD AA
کیو 1.0	K I J UU
کیوری 1.0	K I J UU R II
کیوں 1.0	K II OON
کیونکہ 1.0	K I J UU N K AE
کیے 1.0	K II AE
کیئر 1.0	K AY A R
کئے 1.0	K I AE
گا 1.0	G AA
گارڈ 1.0	G AA R DD
گارڈن 1.0	G AA R DD A N
گارلک 1.0	G AA R L I K
گاری 1.0	G AA R II
گارینٹی 1.0	G AA R AE N TT II
گاڑی 1.0	G AA RR II
گالیاں 1.0	G AA L I J AAN
گائز 1.0	G AA I Z
گائے 1.0	G AA AY
گائیڈ 1.0	G AA II DD
گآئے 1.0	G U AA AE
گجراں 1.0	G U DZZ R AAN
گڈ 1.0	G U DD
گر 1.0	G A R
گرا 1.0	G I R AA
گرامر 1.0	G A R AA M A R
گرانڈ 1.0	G A R AA N DD
گراؤنڈ 1.0	G I R AA UU N DD
گرل 1.0	G I R I L
گرلز 1.0	G A R L Z
گرم 1.0	G A R A M
گرمی 1.0	G A R M II
گروپ 1.0	G U R UU P
گری 1.0	G I R II
گریڈ 1.0	G I R AE DD
گریم 1.0	G I R II M
گرین 1.0	G I R II N
گرینڈ 1.0	G I R AE N DD
گزار 1.0	G U Z AA R
گزر 1.0	G U Z A R
گلاِس 1.0	G A L AA I S
گلبرگ 1.0	G A L L A R G
گلریز 1.0	G U L R AE Z
گلستان 1.0	G U L I S TD AA N
گلش 1.0	G U L SH
گلشن 1.0	G U L SH A N
گلف 1.0	G A L F
گلی 1.0	G A L II
گلیستان 1.0	G A L AE S TD AA N
گندہ 1.0	G A N DD AA
گندے 1.0	G A N DD AY
گندی 1.0	G A N DD II
گھاری 1.0	GH AA R II
گھٹنے 1.0	GH A TT N AY
گھٹیا 1.0	GH A TT J AA
گھر 1.0	GH A R
گھروں 1.0	GH A R OON
گھنٹہ 1.0	GH A N TT AA
گھنٹوں 1.0	GH A N TT OON
گھنٹے 1.0	GH E N TT AE
گھوم 1.0	GH UU M
گھوما 1.0	GH UU M AA
گو 1.0	G OO
گوا 1.0	G A V AA
گواوا 1.0	G A V AA V AA
گوبھی 1.0	G OO BH II
گوگل 1.0	G UU G A L
گولف 1.0	G OO L F
گولی 1.0	G OO L II
گے 1.0	G AE
گی 1.0	G II
گیا 1.0	G I J AA
گیارہ 1.0	G I J AA R AA
گیٹ 1.0	G AE TT
گیٹنگ 1.0	G AE TT I NG
گیس 1.0	G AY S
گیسٹ 1.0	G AE S TT
گیند 1.0	G AY N DD
گیون 1.0	G AE V A N
گئے 1.0	G A AE
گئی 1.0	G A II
لِڈ 1.0	L I DD
لا 1.0	L AA
لاِسٹ 1.0	L AA I S TT
لاتا 1.0	L AA TD AA
لاتے 1.0	L AA TD AY
لاتی 1.0	L AA TD II
لاٹے 1.0	L AA TT AY
لاثی 1.0	L AA S II
لارج 1.0	L AA R DZ
لازمی 1.0	L AA Z M II
لاسٹ 1.0	L AA S TT
لاک 1.0	L AA K
لاکھانی 1.0	L AA KH AA N II
لاکھوں 1.0	L AA KH OON
لاگ 1.0	L AA G
لالہ 1.0	L AA L AA
لانچ 1.0	L AA N TSH
لاہور 1.0	L AA H O R
لاھور 1.0	L AA UU R
لاؤ 1.0	L AA OO
لائبہ 1.0	L AA I B AA
لائٹ 1.0	L AA I TT
لائٹس 1.0	L AA I TT S
لائٹلی 1.0	L AA I TT L II
لائف 1.0	L AA I F
لائن 1.0	L AA I N
لائے 1.0	L AA AY
لائیک 1.0	L AA II K
لبرٹی 1.0	L I B A R TT II
لبریز 1.0	L I B R II Z
لڑکا 1.0	L A RR K AA
لڑکی 1.0	L A RR K II
لسٹ 1.0	L I S TT
لطیف 1.0	L A TD II F
لک 1.0	L A K
لکهیں 1.0	L A K AYN
لکھ 1.0	L I KH
لکھا 1.0	L I KH KH AA
لکھتیں 1.0	L I KH TD IIN
لکھوا 1.0	L I KH V AA
لکھوانا 1.0	L I KH V AA N AA
لکھواؤ 1.0	L I KH V AA OO
لکھوایا 1.0	L I KH V AA J AA
لکھوایۓ 1.0	L I KH V AA II
لکھوائے 1.0	L I KH V AA AY
لکھوائی 1.0	L I KH V AA II
لکھے 1.0	L I KH AE
لکھی 1.0	L I KH II
لکھیں 1.0	L I KH AEN
لکھیے 1.0	L I KH J AE
لکھئیے 1.0	L I KH II AE
لگ 1.0	L A G
لگا 1.0	L A G AA
لگاتے 1.0	L A G AA TD AY
لگاتی 1.0	L A G AA TD II
لگائے 1.0	L A G AA AE
لگتا 1.0	L A G TD AA
لگتی 1.0	L A G TD II
لگتیں 1.0	L A G TD IIN
لگے 1.0	L A G AE
لگےگا 1.0	L A G AY G AA
لگی 1.0	L A G II
لگیں 1.0	L A G AEN
لمبی 1.0	L A M B II
لنچ 1.0	L A N TSH
لنک 1.0	L I N K
لو 1.0	L OO
لوٹلو 1.0	L OO TT L OO
لوجز 1.0	L O DZZ Z
لودھی 1.0	L OO DDH II
لوڈڈ 1.0	L OO DD I DD
لوک 1.0	L O K
لوکل 1.0	L OO K A L
لوکیشن 1.0	L UU K AE SH A N
لوگ 1.0	L OO G
لوگو 1.0	L OO G OO
لوگوں 1.0	L OO G OON
لوگے 1.0	L OO G AE
لوگی 1.0	L OO G II
لوں 1.0	L OON
لونچ 1.0	L O N TSH
لوؤن 1.0	L OO A OO N
لے 1.0	L AE
لےلو 1.0	L AY L OO
لےلیں 1.0	L AY L AEN
لی 1.0	L II
لیا 1.0	L I J AA
لیتا 1.0	L AE TD AA
لیتے 1.0	L AE TD AE
لیتی 1.0	L AE TD II
لیٹ 1.0	L AY TT
لیٹر 1.0	L AY TT A R
لیٹرلی 1.0	L AY TT A R L II
لیٹریلی 1.0	L AY TT R II L II
لیٹس 1.0	L AY TT S
لیجیئے 1.0	L II DZZ II AY
لیجئے 1.0	L II DZZ I AE
لیجئیے 1.0	L II DZZ I J AY
لیڈ 1.0	L II DD
لیس 1.0	L AE S
لیفٹ 1.0	L AE F TT
لیکن 1.0	L AE K I N
لیکے 1.0	L AE K AY
لیگا 1.0	L II G AA
لیمیٹڈ 1.0	L II M II TT I DD
لیں 1.0	L AEN
لیںگی 1.0	L AE G II
لین 1.0	L II N
لینا 1.0	L II N AA
لینٹن 1.0	L AY N TT A N
لینڈ 1.0	L AE N DD
لینگویج 1.0	L AY NG V II DZZ
لینگے 1.0	L AE NG G AY
لینے 1.0	L AE N AE
لینی 1.0	L AY N II
لیول 1.0	L AE V A L
لیے 1.0	L II AE
لئے 1.0	L I AY
لئیے 1.0	L A II AY
ماحول 1.0	M AA H OO L
مادر 1.0	M AA DD I R
مادم 1.0	M AA DD U M
ماڈل 1.0	M AA DD A L
مارا 1.0	M AA R AA
مارتیں 1.0	M AA R A TD AYN
مارک 1.0	M AA R K
مارنے 1.0	M AA R N AY
ماروں 1.0	M AA R OON
ماریہ 1.0	M AA R J AA
ماشااللہ 1.0	M AA SH AA L L AA
مال 1.0	M AA L
مام 1.0	M AA M
ماما 1.0	M AA M AA
مامو 1.0	M AA M UU
ماں 1.0	M AAN
مانگ 1.0	M AA NG
مانگتے 1.0	M AA NG TD AY
ماہم 1.0	M AA H A M
ماہین 1.0	M AA H II N
ماؤنٹین 1.0	M AA UU N TT AE N
مایا 1.0	M AA J AA
مایو 1.0	M AA J UU
مایونیز 1.0	M AA J UU N II Z
مائدہ 1.0	M AA I DD AA
مائرہ 1.0	M AA I R AA
مائزہ 1.0	M AA I Z AA
مائلو 1.0	M AA I L OO
مائنز 1.0	M AA I N Z
مائنس 1.0	M AA I N S
مائے 1.0	M AA AY
مائیکرو 1.0	M AA II K R OO
مبشر 1.0	M U B A SH SH A R
مبنٹ 1.0	M A B N TT
مبین 1.0	M U B AY J A N
مت 1.0	M A TD
متعلقہ 1.0	M U TD A A L L I Q AA
متلبن 1.0	M U TD A L B A N
متین 1.0	M U TD II N
مثلا 1.0	M U S A L L A N
مجال 1.0	M U DZZ AA L
مجتبیٰ 1.0	M U DZZ TD A B II
مجھ 1.0	M U DZZH
مجھے 1.0	M U DZZH AE
مجو 1.0	M U DZZ UU
مجے 1.0	M U DZZ AE
مجید 1.0	M A DZZ II DD
مچ 1.0	M A TSH
مچاؤں 1.0	M A TSH AA OON
مچائے 1.0	M A TSH AA AY
مچھ 1.0	M A TSH
محافظ 1.0	M U H AA F I Z
محسن 1.0	M U H S A N
محصول 1.0	M A H S UU L
محلّہ 1.0	M E H L J U AA
محمّد 1.0	M U H A M M UU V DD
محمود 1.0	M A H M UU DD
محھے 1.0	M E H AY
محیح 1.0	M A H II
مخاطب 1.0	M U X AA TD I B
مدیحہ 1.0	M A DD II H AA
مدینہ 1.0	M A DD DD II N AA
مڈ 1.0	M U DD
مرا 1.0	M U R AA
مراد 1.0	M U R AA DD
مرتبہ 1.0	M A R TD A B AA
مرتضیٰ 1.0	M U R TD A Z II
مرچی 1.0	M I R TSH II
مرد 1.0	M U R DD
مرسیز 1.0	M A R S II Z
مرضی 1.0	M A R Z II
مرکز 1.0	M U R K A Z
مری 1.0	M A R II
مریم 1.0	M A R II M
مرینڈا 1.0	M U R AE N DD AA
مزید 1.0	M A Z II DD
مس 1.0	M A S
مسترد 1.0	M U S TD A R A DD
مسٹر 1.0	M I S TT A R
مسٹرڈ 1.0	M I S TT A R DD
مسٹیک 1.0	M A S TT II K
مسجد 1.0	M A S DZZ I DD
مسز 1.0	M I S I Z
مسس 1.0	M U S A S
مسسنگ 1.0	M A S S I NG
مسطفیٰ 1.0	M U S TD F II
مسلے 1.0	M U S L AY
مسئلہ 1.0	M A S A L AA
مشال 1.0	M U SH AA L
مشرق 1.0	M A SH R I Q
مشکل 1.0	M U SH K A L
مشن 1.0	M A SH A N
مشہور 1.0	M A SH H UU R
مشین 1.0	M A SH II N
مصروف 1.0	M A S R UU F
مصطفیٰ 1.0	M U S TD A F II
مطابق 1.0	M U TD AA B I Q
مطلب 1.0	M U TD L A B
مظہر 1.0	M U Z H A R
معاملہ 1.0	M U AA M A L AA
معاویہ 1.0	M U AA V I J AA
معذرت 1.0	M U A Z Z A R A TD
معلوم 1.0	M A L UU M
معلومات 1.0	M A L UU M AA TD
معمولی 1.0	M AA M UU L II
معیز 1.0	M A II Z
مف 1.0	M U F
مفن 1.0	M U F A N
مفنز 1.0	M U F A N Z
مفین 1.0	M U F II N
مقابلے 1.0	M U Q AA B L AY
مقبول 1.0	M A Q B UU L
مقدّس 1.0	M U Q A DD DD J U S
مقصد 1.0	M A Q S A DD
مکدونلڈ 1.0	M A K DD OO N L DD
مکڈونلڈز 1.0	M U K D OO N L D Z
مکس 1.0	M I K S
مکی 1.0	M U K K II
مگ 1.0	M A G
مگر 1.0	M A G A R
مل 1.0	M A L
ملا 1.0	M I L AA
ملازم 1.0	M U L AA Z I M
ملازموں 1.0	M U L AA Z I M OON
ملاقات 1.0	M U L L AA Q AA TD
ملانے 1.0	M I L AA N AY
ملایا 1.0	M I L L AA J AA
ملائکہ 1.0	M U L AA I K AA
ملت 1.0	M I L L A TD
ملتا 1.0	M U L TD AA
ملتان 1.0	M U L TD AA N
ملٹی 1.0	M I L TT II
ملٹیپل 1.0	M A L TT II P A L
ملٹیپلس 1.0	M A L TT II P A L A S
ملک 1.0	M U L K
ملنا 1.0	M I L N AA
ملنے 1.0	M I L N AE
ملنی 1.0	M I L N II
ملے 1.0	M I L AE
ملی 1.0	M A L II
ملیر 1.0	M I L II R
ملیگا 1.0	M A L II G AA
ملیں 1.0	M I L AEN
ملینیم 1.0	M I L II N I J A M
ممّا 1.0	M A M AA
مں 1.0	M
مناہل 1.0	M A N AA H A L
منٹ 1.0	M A N TT
منٹس 1.0	M I N TT S
منصور 1.0	M A N S UU R
منگ 1.0	M A NG
منگائیں 1.0	M A NG G AA AEN
منگوا 1.0	M A NG V AA
منگواتی 1.0	M A NG V AA TD II
منگوانا 1.0	M A NG V AA N AA
منگوانی 1.0	M A NG V AA N II
منگواؤ 1.0	M A NG V AA OO
منگواؤں 1.0	M A NG V AA OON
منگوایا 1.0	M A NG V AA J AA
منگوائے 1.0	M A NG V AA AY
منگوائی 1.0	M A NG V AA II
منگوائیں 1.0	M A NG V AA AYN
منہ 1.0	M U N AA
منہاج 1.0	M U N H AA DZZ
منہاس 1.0	M A N H AA S
منی 1.0	M A N II
منیب 1.0	M U N II B
منیجر 1.0	M A N AE DZZ A R
منیر 1.0	M U N II R
منیش 1.0	M A N II SH
منیمم 1.0	M U N II M M
مہران 1.0	M OOH H R AA N
مہربانی 1.0	M E H E R B AA N II
مہرنسا 1.0	M OOH H R N S AA
مہرین 1.0	M AEH H R II N
مہک 1.0	M AEH H A K
مہمانوں 1.0	M U H M AA N OON
مہیش 1.0	M A H II SH
مو 1.0	M OO
موبائل 1.0	M OO B AA I L
موٹرز 1.0	M OO TT A R Z
موجود 1.0	M O DZZ UU DD
موحسن 1.0	M O H S A N
موڈ 1.0	M UU DD
مور 1.0	M OO R
مورننگ 1.0	M O R I N I NG
موسٹ 1.0	M OO S TT
موصول 1.0	M O S UU L
موقع 1.0	M O Q AA
موکہ 1.0	M OO K AA
مولتان 1.0	M OO L TD AA N
مولز 1.0	M OO L Z
مومن 1.0	M OO M I N
مومنٹ 1.0	M OO M I N TT
مومنٹس 1.0	M OO M I N TT S
مومینہ 1.0	M OO M II N AA
مونیب 1.0	M UU N II B
مؤقف 1.0	M UU A Q Q A F
مے 1.0	M AY
می 1.0	M II
میاں 1.0	M I J AAN
میٹر 1.0	M II TT A R
میدیکوس 1.0	M AY DD II K UU S
میڈ 1.0	M AE DD
میڈم 1.0	M AE DD A M
میڈیکل 1.0	M AY DD II K A L
میڈیم 1.0	M AE DD I J A M
میر 1.0	M II R
میرا 1.0	M AY R AA
میرے 1.0	M AE R AE
میری 1.0	M II R II
میزان 1.0	M II Z AA N
میس 1.0	M AE S
میسج 1.0	M AY S I DZZ
میعل 1.0	M AE AA L
میعلز 1.0	M II A L Z
میک 1.0	M AE K
میکڈونلڈ 1.0	M AY K D OO N L DD
میکڈونلڈز 1.0	M AY K D OO N L D Z
میگا 1.0	M AE G AA
میل 1.0	M II L
میلز 1.0	M II L Z
میلی 1.0	M AE L II
میم 1.0	M II M
میمبر 1.0	M AE M B A R
میمن 1.0	M AE M A N
میمون 1.0	M AE M UU N
میمونہ 1.0	M AE M UU N AA
میں 1.0	M AYN
میںشن 1.0	M AE SH A N
مینٹ 1.0	M AE N TT
مینٹل 1.0	M AE N TT A L
مینجمنٹ 1.0	M AY N I DZZ M E N TT
مینز 1.0	M II N Z
مینشن 1.0	M AE N SH A N
مینہ 1.0	M II N AA
مینی 1.0	M AE N II
مینیجر 1.0	M AE N AY DZZ A R
مینیو 1.0	M AE N II OO
مینیوز 1.0	M AE J UU Z
میو 1.0	M II V
میوزک 1.0	M I J UU Z I K
میونیز 1.0	M I J UU N II Z
میئر 1.0	M AY A R
مئے 1.0	M A I AE
مئی 1.0	M A II
ں 1.0	A TD
نا 1.0	N AA
ناٹ 1.0	N AA TT
ناجیب 1.0	N AA DZZ II B
نادیہ 1.0	N AA DD I J AA
نارتھ 1.0	N AA R TDH
نارمل 1.0	N AA R M I L
نارملی 1.0	N AA R M I L II
نازش 1.0	N AA Z I SH
ناشتہ 1.0	N AA SH TD AA
ناصر 1.0	N AA S I R
ناظم 1.0	N AA Z I M
ناکاش 1.0	N AA K AA SH
نام 1.0	N AA M
ناو 1.0	N AA V
ناینٹی 1.0	N AA AY N TT II
نائٹ 1.0	N AA I TT
نائلہ 1.0	N AA I L AA
نائن 1.0	N AA I N
نائنٹی 1.0	N AA I N TT II
نائنٹین 1.0	N AA I N TT II N
نبمر 1.0	N A B A M A R
نبیل 1.0	N A B II L
نتھنگ 1.0	N A TDH NG
نٹ 1.0	N A TT
نجیب 1.0	N A DZZ II B
ندا 1.0	N I DD AA
نذر 1.0	N U Z U R
نرم 1.0	N A R M
نزد 1.0	N A Z DD
نزیب 1.0	N A Z II B
نسیم 1.0	N A S II M
نشیمن 1.0	N A SH II M A N
نظر 1.0	N A Z A R
نعمان 1.0	N AA M AA N
نعیم 1.0	N A II M
